# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
breach of confidence;;breach of con-fi-dence;;"briJ-Qv-kQn-fI-d@ns;;5
breach of promise;;breach of prom-ise;;"briJ-Qv-prQ-mIs;;4
breach of the peace;;breach of the peace;;"briJ-Qv-D@-pis;;4
bread-and-butter;;bread--and--but-ter;;"brEd-{nd-bV-t@R;;4
breadbasket;;bread-bas-ket;;brEd-"b#-skIt;;3
breaded;;bread-ed;;brE-dId;;2
breadline;;bread-line;;brEd-l2n;;2
breadwinner;;bread-win-ner;;brEd-"wI-n@R;;3
break;;break;;br1k;;1
breakable;;break-a-ble;;br1-k@-bP;;3
breakage;;break-age;;br1-kI_;;2
breakaway;;break-a-way;;br1k-@-w1;;3
break down;;break down;;"br1k-d6n;;2
breakfast;;break-fast;;brEk-f@st;;2
break-in;;break--in;;br1k-In;;2
break in;;break in;;"br1k-In;;2
break in upon;;break in up-on;;"br1k-In-@-"pQn;;4
breakneck;;break-neck;;br1k-nEk;;2
break off;;break off;;"br1k-Qf;;2
break out;;break out;;"br1k-6t;;2
breakout;;break-out;;"br1k-6t;;2
break through;;break through;;"br1k-Tru;;2
break through;;break through;;br1k-Tru;;2
breakwater;;break-wa-ter;;br1k-"w$-t@R;;3
breast;;breast;;brEst;;1
breast-deep;;breast--deep;;"brEst-dip;;2
breast-fed;;breast--fed;;brEst-fEd;;2
breast-high;;breast--high;;"brEst-h2;;2
breastplate;;breast-plate;;brEst-pl1t;;2
breast pocket;;breast pock-et;;"brEst-pQ-kIt;;3
breastwork;;breast-work;;brEst-w3k;;2
breath;;breath;;brET;;1
breathalyser;;breath-a-lys-er;;brE-T@-l2-z@R;;4
breathe out;;breathe out;;"briD-6t;;2
breathily;;breath-i-ly;;brE-TI-lI;;3
breathiness;;breath-i-ness;;brE-TI-nIs;;3
breathing;;breath-ing;;bri-DIN;;2
breathing-space;;breath-ing--space;;bri-DIN-sp1s;;3
breathlessly;;breath-less-ly;;brET-lIs-lI;;3
breathtaking;;breath-tak-ing;;brET-"t1-kIN;;3
breech-block;;breech--block;;briJ-blQk;;2
breeches;;breech-es;;brI-JIz;;2
breech-loader;;breech--load-er;;briJ-"l5-d@R;;3
breeder;;breed-er;;bri-d@R;;2
breeding;;breed-ing;;bri-dIN;;2
breezeblock;;breeze-block;;briz-blQk;;2
breeze through;;breeze through;;briz-Tru;;2
breezily;;breez-i-ly;;bri-zI-lI;;3
breezy;;breez-y;;bri-zI;;2
breve;;breve;;briv;;1
brevet;;bre-vet;;brE-vIt;;2
breviary;;bre-vi-ar-y;;bri-vj@-rI;;3
brew up;;brew up;;"bru-Vp;;2
briar;;bri-ar;;br2-@R;;2
bribe;;bribe;;br2b;;1
bribery;;brib-er-y;;br2-b@-rI;;3
bric-a-brac;;bric--a--brac;;brI-k@-br{k;;3
brickkiln;;brick-kiln;;brIk-kIln;;2
bricklaying;;brick-lay-ing;;brIk-"l1-IN;;3
brick over;;brick o-ver;;"brIk-5-v@R;;3
brickwork;;brick-work;;brIk-w3k;;2
brickyard;;brick-yard;;brIk-j#d;;2
bride;;bride;;br2d;;1
bridesmaid;;brides-maid;;br2dz-m1d;;2
bride-to-be;;bride--to--be;;"br2d-tu-bi;;3
bridge;;bridge;;brI_;;1
bridgehead;;bridge-head;;brI_-hEd;;2
bridge over;;bridge o-ver;;"brI_-5-v@R;;3
bridgework;;bridge-work;;brI_-w3k;;2
bridle;;bri-dle;;br2-dP;;2
Brie;;Brie;;bri;;1
brief;;brief;;brif;;1
briefcase;;brief-case;;brif-k1s;;2
briefing;;brief-ing;;bri-fIN;;2
brigadier-general;;brig-a-dier--gen-e-ral;;"brI-g@-d7-_E-n@-r@l;;6
brigand;;brig-and;;brI-g@nd;;2
brigandage;;brig-and-age;;brI-g@n-dI_;;3
brigantine;;brig-an-tine;;brI-g@n-tin;;3
bright;;bright;;br2t;;1
bright;;bright;;br2t;;1
brighten;;bright-en;;br2-tH;;2
brightness;;bright-ness;;br2t-nIs;;2
brilliance;;bril-liance;;brIl-j@ns;;2
brilliant;;bril-liant;;brI-lj@nt;;2
brimful;;brim-ful;;"brIm-fUl;;2
brim over;;brim o-ver;;"brIm-5-v@R;;3
brimstone;;brim-stone;;brIm-st5n;;2
brindled;;brin-dled;;brIn-dPd;;2
bring;;bring;;brIN;;1
bring about;;bring a-bout;;"brIN-@-b6t;;3
bring back;;bring back;;"brIN-b{k;;2
bring forth;;bring forth;;"brIN-f$T;;2
bring forward;;bring for-ward;;"brIN-f$-w@d;;3
bring into;;bring in-to;;brIN-"In-tu;;3
bring off;;bring off;;"brIN-Qf;;2
bring on;;bring on;;"brIN-Qn;;2
bring out;;bring out;;"brIN-6t;;2
bring over;;bring o-ver;;"brIN-5-v@R;;3
bring through;;bring through;;"brIN-Tru;;2
bring through;;bring through;;brIN-Tru;;2
bring to;;bring to;;"brIN-tu;;2
bring together;;bring to-geth-er;;"brIN-t@-gE-D@R;;4
bring under;;bring un-der;;brIN-"Vn-d@R;;3
bring up;;bring up;;"brIN-Vp;;2
brink;;brink;;brINk;;1
brinksmanship;;brinks-man-ship;;brINk-m@n-SIp;;3
briny;;brin-y;;br2-nI;;2
briquette;;bri-quette;;brI-kEt;;2
briskly;;brisk-ly;;brIsk-lI;;2
bristle;;bris-tle;;brI-sP;;2
bristly;;bris-tly;;brIs-lI;;2
bristols;;bris-tols;;brI-stPz;;2
Brit;;Brit;;brIt;;1
Britain;;Brit-ain;;brI-tH;;2
British;;Brit-ish;;brI-tIS;;2
brittle;;brit-tle;;brI-tP;;2
broach;;broach;;br5J;;1
broad;;broad;;br$d;;1
broad;;broad;;br$d;;1
broad bean;;broad bean;;"br$d-bin;;2
broadcast;;broad-cast;;br$d-k#st;;2
broadcast;;broad-cast;;br$d-k#st;;2
broadcaster;;broad-cast-er;;br$d-k#-st@R;;3
broadcasting;;broad-cast-ing;;br$d-k#-stIN;;3
broadcasting;;broad-cast-ing;;br$d-k#-stIN;;3
Broad Church;;Broad Church;;"br$d-J3J;;2
broadcloth;;broad-cloth;;br$d-klQT;;2
broad gauge;;broad gauge;;br$d-g1_;;2
broadloom;;broad-loom;;br$d-lum;;2
broadloom;;broad-loom;;br$d-lum;;2
broadly;;broad-ly;;br$d-lI;;2
broadmindedly;;broad-mind-ed-ly;;"br$d-m2n-dId-lI;;4
broadmindedness;;broad-mind-ed-ness;;"br$d-m2n-dId-nIs;;4
broadside;;broad-side;;br$d-s2d;;2
broadsword;;broad-sword;;br$d-s$d;;2
broadwise;;broad-wise;;br$d-w2z;;2
brocade;;bro-cade;;br5-k1d;;2
broccoli;;broc-co-li;;brQ-k@-lI;;3
brochure;;bro-chure;;br5-S@R;;2
broil;;broil;;br4l;;1
broil;;broil;;br4l;;1
broke;;broke;;br5k;;1
broken;;bro-ken;;br5-k@n;;2
broken-heartedly;;bro-ken--heart-ed-ly;;"br5-k@n-h#-tId-lI;;5
broker;;bro-ker;;br5-k@R;;2
bronchial;;bron-chi-al;;brQN-kj@l;;2
bronchial tube;;bron-chi-al tube;;"brQN-kj@l-tjub;;3
bronchitic;;bron-chit-ic;;brQN-kI-tIk;;3
bronchitis;;bron-chi-tis;;brQN-k2-tIs;;3
bronchus;;bron-chus;;brQN-k@s;;2
bronco;;bron-co;;brQN-k5;;2
Bronx;;Bronx;;brQNks;;1
brooch;;brooch;;br5J;;1
brood;;brood;;brud;;1
brood;;brood;;brud;;1
brood;;brood;;brud;;1
brooder;;brood-er;;bru-d@R;;2
broodily;;brood-i-ly;;bru-dI-lI;;3
brood-mare;;brood--mare;;brud-m8R;;2
brook;;brook;;brUk;;1
brook;;brook;;brUk;;1
Bros.;;Bros.;;brV-D@z;;2
broth;;broth;;brQT;;1
brothel;;broth-el;;brQ-TP;;2
brother;;broth-er;;brV-D@R;;2
brother;;broth-er;;brV-D@R;;2
brotherly;;broth-er-ly;;brV-D@-lI;;3
brow;;brow;;br6;;1
browbeat;;brow-beat;;br6-bit;;2
brown;;brown;;br6n;;1
brownie;;brown-ie;;br6-nI;;2
Brownie;;Brown-ie;;br6-nI;;2
brown rice;;brown rice;;"br6n-r2s;;2
brownstone;;brown-stone;;br6n-st5n;;2
brucellosis;;bru-cel-lo-sis;;"bru-sI-l5-sIs;;4
bruin;;bru-in;;bru-In;;2
bruise;;bruise;;bruz;;1
bruising;;bruis-ing;;bru-zIN;;2
bruit about;;bruit a-bout;;"brut-@-b6t;;3
brunch;;brunch;;brVnJ;;1
brush;;brush;;brVS;;1
brush aside;;brush a-side;;"brVS-@-s2d;;3
brush away;;brush a-way;;"brVS-@-w1;;3
brush off;;brush off;;"brVS-Qf;;2
brush up on;;brush up on;;"brVS-Vp-Qn;;3
brushwood;;brush-wood;;brVS-wUd;;2
brusqueness;;brusque-ness;;brusk-nIs;;2
brussels sprout;;brus-sels sprout;;"brV-sP-spr6ts;;3
brutal;;bru-tal;;bru-tP;;2
brutalize;;bru-tal-ize;;bru-t@-l2z;;3
brutally;;bru-tal-ly;;bru-t@-lI;;3
brute;;brute;;brut;;1
brute;;brute;;brut;;1
brutish;;brut-ish;;bru-tIS;;2
bubble;;bub-ble;;bV-bP;;2
bubbly;;bub-bly;;bV-blI;;2
bubonic plague;;bu-bon-ic plague;;bju-"bQ-nIk-pl1g;;4
buck;;buck;;bVk;;1
bucketful;;buck-et-ful;;bV-kIt-fUl;;3
buckle;;buck-le;;bV-kP;;2
buckle down;;buck-le down;;"bV-kP-d6n;;3
buckler;;buck-ler;;bV-kl@R;;2
buckram;;buck-ram;;bVk-r@m;;2
buckskin;;buck-skin;;bVk-skIn;;2
buckwheat;;buck-wheat;;bVk-wit;;2
bucolic;;bu-col-ic;;bju-kQ-lIk;;3
bucolically;;bu-col-i-cal-ly;;bju-kQ-lI-k@-lI;;5
bud;;bud;;bVd;;1
Buddha;;Bud-dha;;bU-d@;;2
Buddhism;;Bud-dhism;;bU-dI-z@m;;3
budget;;bud-get;;bV-_It;;2
buff;;buff;;bVf;;1
buffalo;;buf-fa-lo;;bV-f@-l5;;3
buffer;;buff-er;;bV-f@R;;2
buffer;;buff-er;;bV-f@R;;2
buffer state;;buff-er state;;bV-f@-st1t;;3
buffet;;buf-fet;;bV-fIt;;2
buffet;;buf-fet;;bU-f1;;2
buffet;;buf-fet;;bV-fIt;;2
bug;;bug;;bVg;;1
bugaboo;;bug-a-boo;;bV-g@-bu;;3
bugger;;bug-ger;;bV-g@R;;2
bugger about;;bug-ger a-bout;;"bV-g@-r@-b6t;;4
bugger-all;;bug-ger--all;;bV-g@-r$l;;3
bugger off;;bug-ger off;;"bV-g@-rQf;;3
buggery;;bug-ger-y;;bV-g@-rI;;3
buggy;;bug-gy;;bV-gI;;2
bugle;;bu-gle;;bju-gP;;2
bugle;;bu-gle;;bju-gP;;2
bugler;;bu-gler;;bju-gl@R;;2
build;;build;;bIld;;1
builder;;build-er;;bIl-d@R;;2
build in;;build in;;"bIld-In;;2
build into;;build in-to;;bIld-"In-tu;;3
build on;;build on;;bIld-Qn;;2
build up;;build up;;"bIld-Vp;;2
build upon;;build up-on;;bIld-@-"pQn;;3
built-in;;built--in;;bIlt-In;;2
bulbul;;bul-bul;;bUl-bUl;;2
bulginess;;bulg-i-ness;;bVl-_I-nIs;;3
bulgy;;bulg-y;;bVl-_I;;2
bulk;;bulk;;bVlk;;1
bulkhead;;bulk-head;;bVlk-hEd;;2
bulkily;;bulk-i-ly;;bVl-kI-lI;;3
bull;;bull;;bUl;;1
bull;;bull;;bUl;;1
bull;;bull;;bUl;;1
bulldoze;;bull-doze;;bUl-d5z;;2
bulldozer;;bull-doz-er;;bUl-d5-z@R;;3
bullet;;bul-let;;bU-lIt;;2
bullet-headed;;bul-let--head-ed;;bU-lIt-"hE-dId;;4
bulletin;;bul-le-tin;;bU-l@-tIn;;3
bulletproof;;bul-let-proof;;bU-lIt-pruf;;3
bullfighter;;bull-fight-er;;bUl-"f2-t@R;;3
bullfinch;;bull-finch;;bUl-fInJ;;2
bullfrog;;bull-frog;;bUl-frQg;;2
bullion;;bul-lion;;bU-lj@n;;2
bullnecked;;bull-necked;;"bUl-nEkt;;2
bullring;;bull-ring;;bUl-rIN;;2
bullshit;;bull-shit;;bUl-"SIt;;2
bully;;bul-ly;;bU-lI;;2
bulwark;;bul-wark;;bUl-w@k;;2
bum around;;bum a-round;;"bVm-@-r6nd;;3
bumble;;bum-ble;;bVm-bP;;2
bumblebee;;bum-ble-bee;;bVm-bP-bi;;3
bummer;;bum-mer;;bV-m@R;;2
bump;;bump;;bVmp;;1
bump;;bump;;bVmp;;1
bumper;;bump-er;;bVm-p@R;;2
bumper-to-bumper;;bump-er--to--bump-er;;"bVm-p@-tu-bVm-p@R;;5
bumpiness;;bump-i-ness;;bVm-pI-nIs;;3
bumptious;;bump-tious;;bVmp-S@s;;2
bumptiousness;;bump-tious-ness;;bVmp-S@s-nIs;;3
bun;;bun;;bVn;;1
Buna;;Bu-na;;bu-n@;;2
bunch;;bunch;;bVnJ;;1
bundle;;bun-dle;;bVn-dP;;2
bundle off;;bun-dle off;;"bVn-dP-Qf;;3
bung;;bung;;bVN;;1
bungaloid;;bun-ga-loid;;bVN-g@-l4d;;3
bunghole;;bung-hole;;bVN-h5l;;2
bungle;;bun-gle;;bVN-gP;;2
bungler;;bun-gler;;bVN-gl@R;;2
bunion;;bun-ion;;bVn-j@n;;2
bunk;;bunk;;bVNk;;1
bunk;;bunk;;bVNk;;1
bunk bed;;bunk bed;;bVNk-bEd;;2
bunker;;bunk-er;;bVN-k@R;;2
bunkered;;bun-kered;;bVN-k@d;;2
bunkhouse;;bunk-house;;bVNk-h6s;;2
bunk off;;bunk off;;"bVNk-Qf;;2
bunkum;;bun-kum;;bVN-k@m;;2
bunk-up;;bunk--up;;bVNk-Vp;;2
bunk up;;bunk up;;"bVNk-Vp;;2
Bunsen;;Bun-sen;;bVn-sH;;2
buoy;;buoy;;b4;;1
buoyantly;;buoy-ant-ly;;b4-@nt-lI;;3
buoy up;;buoy up;;"b4-Vp;;2
Burberry;;Bur-ber-ry;;b3-b@-rI;;3
Burberry;;Bur-ber-ry;;b3-b@-rI;;3
burble;;bur-ble;;b3-bP;;2
burden of proof;;bur-den of proof;;"b3-dH-Qv-pruf;;4
burdensome;;bur-den-some;;b3-dH-s@m;;3
burdensomeness;;bur-den-some-ness;;b3-dH-s@m-nIs;;4
burdock;;bur-dock;;b3-dQk;;2
bureaucracy;;bu-reauc-ra-cy;;bj9-rQ-kr@-sI;;4
bureaucratic;;bu-reau-crat-ic;;"bj9-r5-kr{-tIk;;4
burette;;bu-rette;;bj9-rEt;;2
burg;;burg;;b3g;;1
burgess;;bur-gess;;b3-_Is;;2
burgh;;burgh;;bV-r@;;2
burglar;;bur-glar;;b3-gl@R;;2
burglar-alarm;;bur-glar--a-larm;;b3-gl@-r@-"l#m;;4
burgomaster;;bur-go-mas-ter;;b3-g5-"m#-st@R;;4
burial;;bur-i-al;;bE-r7l;;2
Burma;;Bur-ma;;b3-m@;;2
Burmese;;Bur-mese;;"b3-miz;;2
Burmese;;Bur-mese;;"b3-miz;;2
burn;;burn;;b3n;;1
burn;;burn;;b3n;;1
burn away;;burn a-way;;"b3n-@-w1;;3
burner;;burn-er;;b3-n@R;;2
burnish;;bur-nish;;b3-nIS;;2
burn off;;burn off;;"b3n-Qf;;2
burnouse;;bur-nouse;;b3-nus;;2
burn out;;burn out;;"b3n-6t;;2
burnt offering;;burnt of-fer-ing;;"b3nt-Q-f@-rIN;;4
burnt-out;;burnt--out;;"b3nt-6t;;2
burn up;;burn up;;"b3n-Vp;;2
burp;;burp;;b3p;;1
burp;;burp;;b3p;;1
burr;;burr;;b3R;;1
burr;;burr;;b3R;;1
burrow;;bur-row;;bV-r5;;2
burst;;burst;;b3st;;1
burst in on;;burst in on;;"b3st-In-Qn;;3
burst into;;burst in-to;;b3st-"In-tu;;3
burst in upon;;burst in up-on;;"b3st-In-@-"pQn;;4
burthen;;bur-then;;b3-DH;;2
burthen;;bur-then;;b3-DH;;2
burton;;bur-ton;;b3-tH;;2
Burundi;;Bu-run-di;;bU-rUn-dI;;3
Burundian;;Bu-run-di-an;;bU-rUn-d7n;;3
Burundian;;Bu-run-di-an;;bU-rUn-d7n;;3
bury;;bur-y;;bE-rI;;2
bus;;bus;;bVs;;1
busby;;bus-by;;bVz-bI;;2
Bushman;;Bush-man;;bUS-m@n;;2
bushwhack;;bush-whack;;bUS-w{k;;2
bushwhacker;;bush-whack-er;;bUS-w{-k@R;;3
bushy;;bush-y;;bU-SI;;2
busily;;bus-i-ly;;bI-zI-lI;;3
business;;busi-ness;;bIz-nIs;;2
businesswoman;;busi-ness-wom-an;;bIz-nIs-"wU-m@n;;4
busman;;bus-man;;bVs-m@n;;2
busman's holiday;;bus-man's hol-i-day;;"bVs-m@nz-hQ-l@-d1;;5
bus stop;;bus stop;;bVs-stQp;;2
bustard;;bus-tard;;bV-st@d;;2
bustle;;bus-tle;;bV-sP;;2
bustle with;;bus-tle with;;bV-sP-wID;;3
bust-up;;bust--up;;bVst-Vp;;2
bust up;;bust up;;"bVst-Vp;;2
busy;;bus-y;;bI-zI;;2
but;;but;;bVt;;1
but;;but;;bVt;;1
butch;;butch;;bUJ;;1
butch;;butch;;bUJ;;1
butcher;;butch-er;;bU-J@R;;2
butcher;;butch-er;;bU-J@R;;2
butler;;but-ler;;bVt-l@R;;2
butt;;butt;;bVt;;1
butter;;but-ter;;bV-t@R;;2
butterfly nut;;but-ter-fly nut;;bV-t@-fl2-nVt;;4
butterscotch;;but-ter-scotch;;bV-t@-skQJ;;3
butter up;;but-ter up;;"bV-t@-rVp;;3
buttery;;but-ter-y;;bV-t@-rI;;3
but then;;but then;;"bVt-DEn;;2
butt in;;butt in;;"bVt-In;;2
buttock;;but-tock;;bV-t@k;;2
button;;but-ton;;bV-tH;;2
button;;but-ton;;bV-tH;;2
button-down;;but-ton--down;;bV-tH-d6n;;3
buttoned-up;;but-toned--up;;"bV-tHd-Vp;;3
buttress;;but-tress;;bV-trIs;;2
buxom;;bux-om;;bVk-s@m;;2
buy;;buy;;b2;;1
buyer;;buy-er;;b2-@R;;2
buyer's market;;buy-er's mar-ket;;b2-@z-"m#-kIt;;4
buy in;;buy in;;"b2-In;;2
buy off;;buy off;;"b2-Qf;;2
buy out;;buy out;;"b2-6t;;2
buy over;;buy o-ver;;"b2-5-v@R;;3
buzzer;;buzz-er;;bV-z@R;;2
buzz off;;buzz off;;"bVz-Qf;;2
by;;by;;b2;;1
by;;by;;b2;;1
by and by;;by and by;;"b2-{nd-b2;;3
by and large;;by and large;;"b2-{nd-l#_;;3
bye;;bye;;b2;;1
bye-byes;;bye--byes;;b2-b2z;;2
by-election;;by--e-lec-tion;;b2-I-"lEk-SH;;4
bye now;;bye now;;b2-n6;;2
bygone;;by-gone;;b2-gQn;;2
bygones;;by-gones;;b2-gQnz;;2
bypass;;by-pass;;b2-p#s;;2
byplay;;by-play;;b2-pl1;;2
byroad;;by-road;;b2-r5d;;2
by the bye;;by the bye;;"b2-D@-b2;;3
byway;;by-way;;b2-w1;;2
c;;c;;si;;1
c;;c;;si;;1
c;;c;;si;;1
ca;;ca;;@-b6t;;2
cab;;cab;;k{b;;1
cabal;;ca-bal;;k@-b{l;;2
cabaret;;cab-a-ret;;k{-b@-r1;;3
cabby;;cab-by;;k{-bI;;2
cabin boy;;cab-in boy;;k{-bIn-b4;;3
cabin cruiser;;cab-in cruis-er;;k{-bIn-"kru-z@R;;4
cabinet;;cab-i-net;;k{-bI-nIt;;3
cablegram;;ca-ble-gram;;k1-bP-gr{m;;3
cable-length;;ca-ble--length;;k1-bP-lENT;;3
cable-railway;;ca-ble--rail-way;;k1-bP-"r1l-w1;;4
caboodle;;ca-boo-dle;;k@-bu-dP;;3
caboose;;ca-boose;;k@-bus;;2
cabstand;;cab-stand;;k{b-st{nd;;2
cacao;;ca-ca-o;;k@-k#-5;;3
cacao-tree;;ca-ca-o--tree;;k@-k#-5-tri;;4
cache;;cache;;k{S;;1
cachou;;ca-chou;;k{-Su;;2
cackle;;cack-le;;k{-kP;;2
cackler;;cack-ler;;k{-kP-@R;;3
cacophonous;;ca-coph-o-nous;;k{-kQ-f@-n@s;;4
cacophony;;ca-coph-o-ny;;k{-kQ-f@-nI;;4
cactus;;cac-tus;;k{k-t@s;;2
cadence;;ca-dence;;k1-d@ns;;2
cadet corps;;ca-det corps;;k@-dEt-k$R;;3
cadge;;cadge;;k{_;;1
cadger;;cadg-er;;k{-_@R;;2
cadmium;;cad-mi-um;;k{d-m7m;;2
cadre;;ca-dre;;k#-d@R;;2
Caerphilly;;Caer-phil-ly;;k8-fI-lI;;3
Caesar;;Cae-sar;;si-z@R;;2
caesura;;cae-su-ra;;sI-zj9-r@;;3
cafeteria;;caf-e-te-ri-a;;"k{-fI-t7-r7;;4
caffeine;;caf-feine;;k{-fin;;2
cage;;cage;;k1_;;1
cage in;;cage in;;"k1_-In;;2
cagily;;cag-i-ly;;k1-_I-lI;;3
cagoule;;ca-gou-le;;k@-gul;;2
caiman;;cai-man;;k1-m@n;;2
cairn;;cairn;;k8n;;1
cake;;cake;;k1k;;1
calamine;;cal-a-mine;;k{-l@-m2n;;3
calamine lotion;;cal-a-mine lo-tion;;"k{-l@-m2n-l5-SH;;5
calamitous;;ca-lam-i-tous;;k@-l{-mI-t@s;;4
calcination;;cal-ci-na-tion;;"k{l-sI-n1-SH;;4
calcine;;cal-cine;;k{l-s2n;;2
calcine;;cal-cine;;k{l-s2n;;2
calcium carbide;;cal-ci-um car-bide;;"k{l-s7m-k#-b2d;;4
calculably;;cal-cu-la-bly;;k{l-kjU-l@-blI;;4
calculating;;cal-cu-lat-ing;;k{l-kjU-l1-tIN;;4
calculating machine;;cal-cu-lat-ing ma-chine;;k{l-kjU-l1-tIN-m@-"Sin;;6
calculation;;cal-cu-la-tion;;"k{l-kjU-l1-SH;;4
calculus;;cal-cu-lus;;k{l-kjU-l@s;;3
calender;;cal-en-der;;k{-lIn-d@R;;3
calends;;cal-ends;;k{-lIndz;;2
calf-love;;calf--love;;k#f-lVv;;2
calibrate;;cal-i-brate;;k{-lI-br1t;;3
calibre;;cal-i-bre;;k{-lI-b@R;;3
calico;;cal-i-co;;k{-lI-k5;;3
caliphate;;cal-i-phate;;k{-lI-f1t;;3
calk;;calk;;k$k;;1
calk;;calk;;k$k;;1
call;;call;;k$l;;1
calla;;cal-la;;k{-l@;;2
callboy;;call-boy;;k$l-b4;;2
call by;;call by;;k$l-b2;;2
call down;;call down;;"k$l-d6n;;2
caller;;call-er;;k$-l@R;;2
calligraphist;;cal-lig-ra-phist;;k@-lI-gr@-fIst;;4
calligraphy;;cal-lig-ra-phy;;k@-lI-gr@-fI;;4
call-in;;call--in;;k$l-In;;2
call in;;call in;;"k$l-In;;2
calliope;;cal-li-o-pe;;k@-l2-@-pI;;4
calliper;;cal-li-per;;k{-lI-p@R;;3
callipers;;cal-li-pers;;k{-lI-p@z;;3
callisthenic;;cal-lis-then-ic;;"k{-lIs-TE-nIk;;4
call loan;;call loan;;k$l-l5n;;2
call on;;call on;;k$l-Qn;;2
callously;;cal-lous-ly;;k{-l@s-lI;;3
callowness;;cal-low-ness;;k{-l5-nIs;;3
call sign;;call sign;;k$l-s2n;;2
call up;;call up;;"k$l-Vp;;2
call upon;;call up-on;;k$l-@-"pQn;;3
callus;;cal-lus;;k{-l@s;;2
calm;;calm;;k#m;;1
calm;;calm;;k#m;;1
calm down;;calm down;;"k#m-d6n;;2
calmness;;calm-ness;;k#m-nIs;;2
calor gas;;cal-or gas;;k{-l@-g{s;;3
calorie;;cal-o-rie;;k{-l@-rI;;3
calumniate;;ca-lum-ni-ate;;k@-lVm-nI-1t;;4
calve;;calve;;k#v;;1
calyx;;ca-lyx;;k1-lIks;;2
Cambodia;;Cam-bo-di-a;;k{m-b5-dj@;;3
Cambodian;;Cam-bo-di-an;;k{m-b5-dj@n;;3
cambric;;cam-bric;;k1m-brIk;;2
camelhair;;cam-el-hair;;k{-mP-h8R;;3
camellia;;ca-mel-lia;;k@-mi-lj@;;3
Camembert;;Cam-em-bert;;k{-m@m-b8R;;3
cameo;;cam-e-o;;k{-mI-5;;3
camera;;cam-er-a;;k{-m@-r@;;3
cami-knicks;;cam-i--knicks;;k{-mI-nIks;;3
camouflage;;cam-ou-flage;;k{-m@-fl#Z;;3
camouflage;;cam-ou-flage;;k{-m@-fl#Z;;3
campaign;;cam-paign;;k{m-p1n;;2
campaign;;cam-paign;;k{m-p1n;;2
campanologist;;cam-pa-nol-o-gist;;"k{m-p@-nQ-l@-_Ist;;5
campanula;;cam-pan-u-la;;k@m-p{-njU-l@;;4
campfire;;camp-fire;;k{mp-"f2-@R;;3
camp-follower;;camp--fol-low-er;;k{mp-"fQ-l5-@R;;4
campground;;camp-ground;;k{mp-gr6nd;;2
camphor;;cam-phor;;k{m-f@R;;2
camphorate;;cam-pho-rate;;k{m-f@-r1t;;3
camphorated;;cam-pho-rat-ed;;k{m-f@-r1-tId;;4
camping;;camp-ing;;k{m-pIN;;2
campion;;cam-pi-on;;k{m-pj@n;;2
camp meeting;;camp meet-ing;;k{mp-"mi-tIN;;3
camp-stool;;camp--stool;;k{mp-stul;;2
campus;;cam-pus;;k{m-p@s;;2
can;;can;;k{n;;1
can;;can;;k{n;;1
Canadian;;Ca-na-di-an;;k@-n1-dj@n;;3
canal;;ca-nal;;k@-n{l;;2
canal boat;;ca-nal boat;;k@-n{l-b5t;;3
canalize;;ca-nal-ize;;k{-n@-l2z;;3
canard;;ca-nard;;k{-n#d;;2
canary;;ca-nar-y;;k@-n8-rI;;3
canary-wine;;ca-nar-y--wine;;k@-n8-rI-w2n;;4
cancel;;can-cel;;k{n-sP;;2
cancel out;;can-cel out;;"k{n-sP-6t;;3
cancer;;can-cer;;k{n-s@R;;2
candelabrum;;can-de-la-brum;;"k{n-dI-l#-br@m;;4
candidate;;can-di-date;;k{n-dI-d@t;;3
candied;;can-died;;k{n-dId;;2
candlepower;;can-dle-pow-er;;k{n-dP-"p6-@R;;4
candour;;can-dour;;k{n-d@R;;2
candyfloss;;can-dy-floss;;k{n-dI-flQs;;3
cane;;cane;;k1n;;1
cane;;cane;;k1n;;1
canister;;can-is-ter;;k{-nI-st@R;;3
canker;;can-ker;;k{N-k@R;;2
cankerous;;can-ker-ous;;k{N-k@-r@s;;3
canna;;can-na;;k{-n@;;2
cannabis;;can-na-bis;;k{-n@-bIs;;3
canned;;canned;;k{nd;;1
cannibal;;can-ni-bal;;k{-nI-bP;;3
cannibalistic;;can-ni-bal-is-tic;;"k{-nI-b@-lI-stIk;;5
cannily;;can-ni-ly;;k{-nI-lI;;3
cannon;;can-non;;k{-n@n;;2
cannon;;can-non;;k{-n@n;;2
cannonade;;can-non-ade;;"k{-n@-n1d;;3
cannon-fodder;;can-non--fod-der;;k{-n@n-"fQ-d@R;;4
cannot;;can-not;;k{-nQt;;2
canny;;can-ny;;k{-nI;;2
canoe;;ca-noe;;k@-nu;;2
canon;;can-on;;k{-n@n;;2
canonical;;ca-non-i-cal;;k@-nQ-nI-kP;;4
canonicals;;ca-non-i-cals;;k@-nQ-nI-kPz;;4
canoodle;;ca-noo-dle;;k@-nu-dP;;3
can opener;;can o-pen-er;;k{n-"5-p@-n@R;;4
canopy;;can-o-py;;k{-n@-pI;;3
cant;;cant;;k{nt;;1
can't;;can't;;k#nt;;1
cantaloup;;can-ta-loup;;k{n-t@-lup;;3
cantankerously;;can-tan-ker-ous-ly;;k{n-t{N-k@-r@s-lI;;5
canteen;;can-teen;;k{n-tin;;2
canter;;can-ter;;k{n-t@R;;2
canto;;can-to;;k{n-t5;;2
